system (grid),system total,2.0
system (grid),system total discounted cost,31990.6220786
system (grid),system total discounted demand,14641.7542252
system (grid),system total discounted recurring cost,13240.487344
system (grid),system total existing network length,0
system (grid),system total external discounted recurring cost,652.632446456
system (grid),system total external initial cost,2451.06750488
system (grid),system total initial cost,18750.1347347
system (grid),system total internal discounted recurring cost,12587.8548976
system (grid),system total internal initial cost,16299.0672298
system (grid),system total levelized cost,2.1848899788
system (grid),system total proposed network length,122.553375244
system (mini-grid),system total,64.0
system (mini-grid),system total discounted cost,4259627.93758
system (mini-grid),system total discounted demand,3485863.84162
system (mini-grid),system total discounted energy storage cost,2527798.72174
system (mini-grid),system total discounted generation cost,2685555.02137
system (mini-grid),system total discounted recurring cost,3056802.93758
system (mini-grid),system total initial cost,1202825.0
system (mini-grid),system total levelized cost,1.22197197915
system (off-grid),system total,12.0
system (off-grid),system total discounted cost,267197.35179
system (off-grid),system total discounted demand,87854.0183077
system (off-grid),system total discounted diesel cost,0.0
system (off-grid),system total discounted diesel fuel cost,0.0
system (off-grid),system total discounted recurring cost,130797.35179
system (off-grid),system total initial cost,136400.0
system (off-grid),system total levelized cost,3.04137883431
