system (grid),system total,5.0
system (grid),system total discounted cost,198510.499847
system (grid),system total discounted demand,123371.183013
system (grid),system total discounted recurring cost,74594.5804185
system (grid),system total existing network length,0
system (grid),system total external discounted recurring cost,1023.15222128
system (grid),system total external initial cost,3842.61489869
system (grid),system total initial cost,123915.919429
system (grid),system total internal discounted recurring cost,73571.4281972
system (grid),system total internal initial cost,120073.30453
system (grid),system total levelized cost,1.60905079289
system (grid),system total proposed network length,192.130744935
system (mini-grid),system total,45.0
system (mini-grid),system total discounted cost,3099312.4124
system (mini-grid),system total discounted demand,1839913.34784
system (mini-grid),system total discounted energy storage cost,1519030.56851
system (mini-grid),system total discounted generation cost,1626487.75811
system (mini-grid),system total discounted recurring cost,1994337.4124
system (mini-grid),system total initial cost,1104975.0
system (mini-grid),system total levelized cost,1.68448824834
system (off-grid),system total,37.0
system (off-grid),system total discounted cost,940577.774648
system (off-grid),system total discounted demand,309911.3494
system (off-grid),system total discounted diesel cost,0.0
system (off-grid),system total discounted diesel fuel cost,0.0
system (off-grid),system total discounted recurring cost,460427.774648
system (off-grid),system total initial cost,480150.0
system (off-grid),system total levelized cost,3.03498976875
